// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\e1baccc7-6e5d-4b56-b052-349d46c86275
// command took 2.55s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\e1baccc7-6e5d-4b56-b052-349d46c86275
// command took 4.15s and exited with 0
// ***** Done, took 00:00:06 (6.98 sec)   *****
// Found 2 benchmarks:
//   ForVSForeach.TestForLoop: DefaultJob
//   ForVSForeach.TestForeachLoop: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVSForeach.TestForLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e1baccc7-6e5d-4b56-b052-349d46c86275.dll" --benchmarkName "ForVSForeachPerformance.ForVSForeach.TestForLoop" --job "Default" --benchmarkId 0 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\e1baccc7-6e5d-4b56-b052-349d46c86275\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 336228.47 ns, 336.2285 us/op
WorkloadJitting  1: 1 op, 485744.39 ns, 485.7444 us/op

OverheadJitting  2: 16 op, 514918.22 ns, 32.1824 us/op
WorkloadJitting  2: 16 op, 485015.04 ns, 30.3134 us/op

WorkloadPilot    1: 16 op, 2917.38 ns, 182.3365 ns/op
WorkloadPilot    2: 32 op, 729.35 ns, 22.7921 ns/op
WorkloadPilot    3: 64 op, 1094.02 ns, 17.0940 ns/op
WorkloadPilot    4: 128 op, 1458.69 ns, 11.3960 ns/op
WorkloadPilot    5: 256 op, 1458.69 ns, 5.6980 ns/op
WorkloadPilot    6: 512 op, 8022.81 ns, 15.6695 ns/op
WorkloadPilot    7: 1024 op, 3646.73 ns, 3.5613 ns/op
WorkloadPilot    8: 2048 op, 8022.81 ns, 3.9174 ns/op
WorkloadPilot    9: 4096 op, 11669.53 ns, 2.8490 ns/op
WorkloadPilot   10: 8192 op, 18233.65 ns, 2.2258 ns/op
WorkloadPilot   11: 16384 op, 51054.21 ns, 3.1161 ns/op
WorkloadPilot   12: 32768 op, 71111.23 ns, 2.1701 ns/op
WorkloadPilot   13: 65536 op, 247612.94 ns, 3.7783 ns/op
WorkloadPilot   14: 131072 op, 408433.72 ns, 3.1161 ns/op
WorkloadPilot   15: 262144 op, 982793.64 ns, 3.7491 ns/op
WorkloadPilot   16: 524288 op, 1254474.99 ns, 2.3927 ns/op
WorkloadPilot   17: 1048576 op, 2343753.13 ns, 2.2352 ns/op
WorkloadPilot   18: 2097152 op, 5031028.20 ns, 2.3990 ns/op
WorkloadPilot   19: 4194304 op, 9172619.04 ns, 2.1869 ns/op
