// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\eb7d4857-5305-47a0-bb8c-feee986d8241
// command took 2.65s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\eb7d4857-5305-47a0-bb8c-feee986d8241
// command took 4.05s and exited with 0
// ***** Done, took 00:00:06 (6.97 sec)   *****
// Found 2 benchmarks:
//   ForVSForeach.LoopWithFor: DefaultJob
//   ForVSForeach.LoopWithForeach: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForVSForeach.LoopWithFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eb7d4857-5305-47a0-bb8c-feee986d8241.dll" --benchmarkName "ForVSForeachPerformance.ForVSForeach.LoopWithFor" --job "Default" --benchmarkId 0 in C:\Users\arupade\source\repos\PerformanceAssignment\ForVSForeachPerformance\bin\Release\netcoreapp2.2\eb7d4857-5305-47a0-bb8c-feee986d8241\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 602804.41 ns, 602.8044 us/op
WorkloadJitting  1: 1 op, 941585.59 ns, 941.5856 us/op

OverheadJitting  2: 16 op, 426667.37 ns, 26.6667 us/op
WorkloadJitting  2: 16 op, 640365.72 ns, 40.0229 us/op

WorkloadPilot    1: 16 op, 5105.42 ns, 319.0888 ns/op
WorkloadPilot    2: 32 op, 3646.73 ns, 113.9603 ns/op
WorkloadPilot    3: 64 op, 1094.02 ns, 17.0940 ns/op
WorkloadPilot    4: 128 op, 1094.02 ns, 8.5470 ns/op
WorkloadPilot    5: 256 op, 1458.69 ns, 5.6980 ns/op
WorkloadPilot    6: 512 op, 8022.81 ns, 15.6695 ns/op
WorkloadPilot    7: 1024 op, 16410.28 ns, 16.0257 ns/op
WorkloadPilot    8: 2048 op, 7658.13 ns, 3.7393 ns/op
WorkloadPilot    9: 4096 op, 20421.69 ns, 4.9858 ns/op
WorkloadPilot   10: 8192 op, 22609.72 ns, 2.7600 ns/op
WorkloadPilot   11: 16384 op, 44854.77 ns, 2.7377 ns/op
WorkloadPilot   12: 32768 op, 98461.70 ns, 3.0048 ns/op
WorkloadPilot   13: 65536 op, 218074.43 ns, 3.3276 ns/op
WorkloadPilot   14: 131072 op, 396034.84 ns, 3.0215 ns/op
WorkloadPilot   15: 262144 op, 916423.16 ns, 3.4959 ns/op
WorkloadPilot   16: 524288 op, 1485312.98 ns, 2.8330 ns/op
WorkloadPilot   17: 1048576 op, 3304666.39 ns, 3.1516 ns/op
WorkloadPilot   18: 2097152 op, 6065970.07 ns, 2.8925 ns/op
WorkloadPilot   19: 4194304 op, 10591926.21 ns, 2.5253 ns/op
